tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8482, device='cuda:0', grad_fn=<MeanBackward0>)
